,image,label
0,../data/processed/jumping/jump-hdang-196.jpg,0
1,../data/processed/jumping/jump-hdang-4.jpg,0
2,../data/processed/jumping/jump-an-261.jpg,0
3,../data/processed/jumping/jump-tuan-29.jpg,0
4,../data/processed/jumping/jump-nhan-353.jpg,0
5,../data/processed/jumping/jump-tuan-263.jpg,0
6,../data/processed/jumping/jump-hdang-394.jpg,0
7,../data/processed/jumping/jump-khuong-114.jpg,0
8,../data/processed/jumping/jump-hdang-323.jpg,0
9,../data/processed/jumping/jump-minh-37.jpg,0
10,../data/processed/jumping/jump-nhan-51.jpg,0
11,../data/processed/jumping/jump-khuong-99.jpg,0
12,../data/processed/jumping/jump-hdang-10.jpg,0
13,../data/processed/jumping/jump-an-24.jpg,0
14,../data/processed/jumping/jump-mdang-193.jpg,0
15,../data/processed/jumping/jump-nhan-185.jpg,0
16,../data/processed/jumping/jump-tuan-227.jpg,0
17,../data/processed/jumping/jump-hdang-148.jpg,0
18,../data/processed/jumping/jump-khuong-155.jpg,0
19,../data/processed/jumping/jump-khuong-109.jpg,0
20,../data/processed/jumping/jump-mdang-84.jpg,0
21,../data/processed/jumping/jump-khuong-150.jpg,0
22,../data/processed/jumping/jump-minh-76.jpg,0
23,../data/processed/jumping/jump-mdang-58.jpg,0
24,../data/processed/jumping/jump-minh-33.jpg,0
25,../data/processed/jumping/jump-nhan-118.jpg,0
26,../data/processed/jumping/jump-tuan-392.jpg,0
27,../data/processed/jumping/jump-nhan-86.jpg,0
28,../data/processed/jumping/jump-an-56.jpg,0
29,../data/processed/jumping/jump-hdang-60.jpg,0
30,../data/processed/jumping/jump-tuan-326.jpg,0
31,../data/processed/jumping/jump-khuong-236.jpg,0
32,../data/processed/jumping/jump-minh-2.jpg,0
33,../data/processed/jumping/jump-tuan-100.jpg,0
34,../data/processed/jumping/jump-tuan-280.jpg,0
35,../data/processed/jumping/jump-mdang-238.jpg,0
36,../data/processed/jumping/jump-mdang-207.jpg,0
37,../data/processed/jumping/jump-khuong-36.jpg,0
38,../data/processed/jumping/jump-tuan-347.jpg,0
39,../data/processed/jumping/jump-tuan-172.jpg,0
40,../data/processed/jumping/jump-tuan-178.jpg,0
41,../data/processed/jumping/jump-minh-104.jpg,0
42,../data/processed/jumping/jump-tuan-266.jpg,0
43,../data/processed/jumping/jump-hdang-138.jpg,0
44,../data/processed/jumping/jump-an-209.jpg,0
45,../data/processed/jumping/jump-hdang-333.jpg,0
46,../data/processed/jumping/jump-minh-268.jpg,0
47,../data/processed/jumping/jump-hdang-120.jpg,0
48,../data/processed/jumping/jump-nhan-254.jpg,0
49,../data/processed/jumping/jump-nhan-74.jpg,0
50,../data/processed/jumping/jump-khuong-80.jpg,0
51,../data/processed/jumping/jump-khuong-78.jpg,0
52,../data/processed/jumping/jump-khuong-146.jpg,0
53,../data/processed/jumping/jump-hdang-368.jpg,0
54,../data/processed/jumping/jump-nhan-134.jpg,0
55,../data/processed/jumping/jump-an-394.jpg,0
56,../data/processed/jumping/jump-an-81.jpg,0
57,../data/processed/jumping/jump-hdang-220.jpg,0
58,../data/processed/jumping/jump-minh-236.jpg,0
59,../data/processed/jumping/jump-hdang-286.jpg,0
60,../data/processed/jumping/jump-mdang-310.jpg,0
61,../data/processed/jumping/jump-hdang-130.jpg,0
62,../data/processed/jumping/jump-nhan-43.jpg,0
63,../data/processed/jumping/jump-hdang-217.jpg,0
64,../data/processed/jumping/jump-minh-102.jpg,0
65,../data/processed/jumping/jump-minh-320.jpg,0
66,../data/processed/jumping/jump-hdang-178.jpg,0
67,../data/processed/jumping/jump-khuong-381.jpg,0
68,../data/processed/jumping/jump-tuan-64.jpg,0
69,../data/processed/jumping/jump-mdang-304.jpg,0
70,../data/processed/jumping/jump-nhan-125.jpg,0
71,../data/processed/jumping/jump-an-201.jpg,0
72,../data/processed/jumping/jump-nhan-39.jpg,0
73,../data/processed/jumping/jump-tuan-40.jpg,0
74,../data/processed/jumping/jump-minh-108.jpg,0
75,../data/processed/jumping/jump-minh-245.jpg,0
76,../data/processed/jumping/jump-hdang-258.jpg,0
77,../data/processed/jumping/jump-nhan-243.jpg,0
78,../data/processed/jumping/jump-khuong-15.jpg,0
79,../data/processed/jumping/jump-tuan-89.jpg,0
80,../data/processed/jumping/jump-an-387.jpg,0
81,../data/processed/jumping/jump-minh-85.jpg,0
82,../data/processed/jumping/jump-mdang-200.jpg,0
83,../data/processed/jumping/jump-khuong-152.jpg,0
84,../data/processed/jumping/jump-hdang-346.jpg,0
